Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males,Prep Females,Prep Total,Year 1 Males,Year 1 Females,Year 1 Total,Year 2 Males,Year 2 Females,Year 2 Total,Year 3 Males,Year 3 Females,Year 3 Total,Year 4 Males,Year 4 Females,Year 4 Total,Year 5 Males,Year 5 Females,Year 5 Total,Year 6 Males,Year 6 Females,Year 6 Total,Primary Ungraded Males,Primary Ungraded Females,Primary Ungraded Total,Primary Total,Year 7 Males,Year 7 Females,Year 7 Total,Year 8 Males,Year 8 Females,Year 8 Total,Year 9 Males,Year 9 Females,Year 9 Total,Year 10 Males,Year 10 Females,Year 10 Total,Year 11 Males,Year 11 Females,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Postprimary Ungraded Males,Postprimary Ungraded Females,Postprimary Ungraded Total,Secondary Total,Grand Total
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,343,345,0,345,305,0,305,323,0,323,292,0,292,274,0,274,0,0,0,1882,1882
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,74,0,74,95,0,95,83,0,83,72,0,72,73,0,73,0,0,0,491,491
Catholic,2,26,Christian Brothers' College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,95,0,95,91,0,91,77,0,77,86,0,86,90,0,90,0,0,0,497,497
Catholic,2,28,St Patrick's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,251,256,0,256,201,0,201,218,0,218,236,0,236,177,0,177,0,0,0,1339,1339
Catholic,2,29,St Patrick's School,Primary,O,26,17,43,27,19,46,23,15,38,11,12,23,13,20,33,11,14,25,11,16,27,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
Catholic,2,30,St Alipius' Parish School,Primary,O,28,10,38,13,19,32,29,13,42,17,12,29,25,21,46,24,19,43,25,12,37,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
Catholic,2,33,Emmanuel College Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,114,224,120.1,101,221.1,96,119.6,215.6,104,90,194,102,108,210,73,86,159,0,0,0,1223.7,1223.7
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,0,135,135,0,134,134,0,135,135,0,134,134,0,133,133,0,0,0,827,827
Catholic,2,60,St Mary's School,Primary,O,22,19,41,22,23,45,18,15,33,12,12,24,12,20,32,11,12,23,15,14,29,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
Catholic,2,77,Sacred Heart School,Primary,O,23,14,37,13,19,32,9,13,22,22,21,43,15,21,36,24,18,42,10,25,35,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
Catholic,2,78,St Mary's School,Primary,O,27,27,54,28,41,69,30,24,54,19,26,45,22,19,41,24,24,48,17,29,46,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357
Catholic,2,98,St Michael's School,Primary,O,17,13,30,9,17,26,12,14,26,11,4,15,9,11,20,8,3,11,7,9,16,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Catholic,2,104,St Patrick's School,Primary,O,22,24,46,29,30,59,24.6,16,40.6,24,27,51,25,29,54,12,22,34,24,16,40,0,0,0,324.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.6
Catholic,2,106,Presentation College Windsor,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,96,96,0,92,92,0,106,106,0,112,112,0,116,116,0,0,0,623,623
Catholic,2,107,St Mary's School,Primary,O,25,23,48,26,24,50,15,23,38,11,17,28,16,18,34,12,10,22,13,8,21,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Catholic,2,111,Assumption College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,91,180,94,95,189,83,99,182,104,91,195,109,84,193,94,91,185,0,0,0,1124,1124
Catholic,2,113,St Brendan's School,Primary,O,19,16,35,18,14,32,2.4,8,10.4,10,12,22,11,20,31,10,8,18,8,11,19,0,0,0,167.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.4
Catholic,2,130,Catholic College Bendigo,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.8,172,371.8,178,170,348,195,180,375,162,168,330,111.4,147,258.4,96,127,223,0,0,0,1906.2,1906.2
