Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,284,288,0,288,269,0,269,251,0,251,216,0,216,196,0,196,0,0,0,1504,1504
Catholic,2,22,St Joseph's College Melbourne,Secondary,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,76,0,76,96,0,96,95,0,95,134,0,134,145,0,145,0,0,0,608,608
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,103,0,103,104,0,104,84,0,84,0,0,0,0,0,0,0,0,0,385,385
Catholic,2,26,Christian Brothers' College St Kilda,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,102,100,0,100,111,0,111,103,0,103,96,0,96,101,0,101,0,0,0,613,613
Catholic,2,28,St Patrick's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,225,196,0,196,201,0,201,202,0,202,165,0,165,158,0,158,0,0,0,1147,1147
Catholic,2,29,St Patrick's School,Primary,O,12,19,31,14,18,32,14,14,28,14,18,32,17,15,32,12,12,24,14,20,34,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
Catholic,2,30,St Alipius' Parish School,Primary,O,24,13,37,27,15,42,24,18,42,20,17,37,21,14,35,15,20,35,21,19,40,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
Catholic,2,31,St Augustine's Education & Training Centre,Special,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,3.2,27.6,27.6,27.6
Catholic,2,33,Emmanuel College Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,105,216,95,87,182,66,88,154,97,79,176,77.4,87,164.4,56.3,68,124.3,0,0,0,1016.7,1016.7
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,0,138,138,0,134,134,0,133,133,0,134,134,0,136,136,0,0,0,810,810
Catholic,2,60,St Mary's School,Primary,O,12,15,27,7,14,21,14,14,28,13,11,24,12,13,25,14,9,23,7,13,20,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Catholic,2,77,Sacred Heart School,Primary,O,13,22,35,26,19,45,17,28,45,16,17,33,23,27,50,22,22,44,26,20,46,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298
Catholic,2,78,St Mary's School,Primary,O,19,25,44,29,20,49,21,28,49,23,26,49,28,25,53,25,33,58,25,26,51,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353
Catholic,2,98,St Michael's School,Primary,O,12,13,25,11,4,15,10,12,22,9,8,17,12,10,22,12,15,27,19,11,30,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
Catholic,2,104,St Patrick's School,Primary,O,18,27,45,13,18,31,21,12,33,12,16,28,17,22,39,6,12,18,17,15,32,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
