"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total"
"Catholic",2,33,"Emmanuel College Inc","Secondary","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.10,118.00,207.10,112.00,114.00,226.00,125.00,101.00,226.00,97.60,116.60,214.20,104.00,90.00,194.00,93.00,102.00,195.00,0.00,0.00,0.00,1262.30,1262.30
"Catholic",2,35,"Loreto College","Secondary","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,156.00,0.00,156.00,156.00,0.00,134.00,134.00,0.00,135.00,135.00,0.00,129.00,129.00,0.00,136.00,136.00,0.00,0.00,0.00,846.00,846.00
"Catholic",2,60,"St Mary's School","Primary","O",32.00,15.00,47.00,21.00,20.00,41.00,23.00,23.00,46.00,18.00,14.00,32.00,11.00,13.00,24.00,10.00,20.00,30.00,11.00,12.00,23.00,0.00,0.00,0.00,243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243.00
"Catholic",2,77,"Sacred Heart School","Primary","O",23.00,23.00,46.00,21.00,14.00,35.00,13.00,19.00,32.00,8.00,12.00,20.00,21.00,20.00,41.00,14.00,22.00,36.00,25.00,18.00,43.00,0.00,0.00,0.00,253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.00
"Catholic",2,78,"St Mary's School","Primary","O",31.00,23.00,54.00,27.00,25.00,52.00,28.00,40.00,68.00,31.00,22.00,53.00,21.00,26.00,47.00,21.00,16.00,37.00,22.00,25.00,47.00,0.00,0.00,0.00,358.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,358.00
"Catholic",2,98,"St Michael's School","Primary","O",6.00,13.00,19.00,11.00,12.00,23.00,5.00,13.00,18.00,9.00,12.00,21.00,10.00,5.00,15.00,10.00,10.00,20.00,10.00,3.00,13.00,0.00,0.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.00
"Catholic",2,104,"St Patrick's School","Primary","O",23.00,27.00,50.00,21.00,26.00,47.00,26.00,30.00,56.00,24.60,16.00,40.60,24.00,25.00,49.00,24.00,28.00,52.00,12.00,23.00,35.00,0.00,0.00,0.00,329.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329.60
"Catholic",2,106,"Presentation College Windsor","Secondary","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,89.00,0.00,100.00,100.00,0.00,91.00,91.00,0.00,89.00,89.00,0.00,105.00,105.00,0.00,114.00,114.00,0.00,0.00,0.00,588.00,588.00
"Catholic",2,107,"St Mary's School","Primary","O",19.00,25.00,44.00,23.00,21.00,44.00,27.00,24.00,51.00,16.00,25.00,41.00,11.00,17.00,28.00,16.00,20.00,36.00,12.00,11.00,23.00,0.00,0.00,0.00,267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267.00
"Catholic",2,111,"Assumption College","Secondary","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,98.00,206.00,95.00,92.00,187.00,108.00,101.00,209.00,96.00,105.00,201.00,108.00,96.00,204.00,98.00,76.00,174.00,0.00,0.00,0.00,1181.00,1181.00
