"Post School Destinations of Year 12 or equivalent completers in 2018, Victorian schools",,,,,,,,,,,,,
Source: On Track Year 12 completer survey 2019 (Department of Education and Training),,,,,,,,,,,,,
,,,,,,,,,,,,,
VCAA CODE,SCHOOL NAME,SECTOR,LOCALITY,TOTAL COMPLETED YEAR 12,ON TRACK CONSENTERS,ON TRACK SURVEY DATA 2019 **,,,,,,,
,,,,,,ON TRACK RESPONDENTS*,IN EDUCATION AND TRAINING - MAY 2019,,,,NOT IN EDUCATION AND TRAINING - MAY 2019,,
,,,,,,,BACHELOR ENROLLED,DEFERRED,TAFE / VET ENROLLED,APPRENTICE / TRAINEE,EMPLOYED,LOOKING FOR WORK,Other^
,,,,(NUMBER),(NUMBER),(NUMBER),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT)
01216,ACADEMY OF MARY IMMACULATE,C,FITZROY,96,96,60,68,12,15,3,2,0,0
14952,AL SIRAAT COLLEGE,I,EPPING,21,21,13,77,0,15,8,0,0,0
14924,ALKIRA SECONDARY COLLEGE,G,CRANBOURNE NORTH,165,87,63,51,2,21,5,17,5,0
11802,ANTONINE COLLEGE,C,PASCOE VALE SOUTH,58,46,24,54,8,25,0,4,8,0
01311,APOLLO BAY P-12 COLLEGE,G,OTWAY,16,15,11,36,36,0,9,18,0,0
01300,AQUINAS COLLEGE,C,RINGWOOD,256,235,133,49,11,15,14,10,1,0
01207,ARARAT SECONDARY COLLEGE,G,ARARAT,19,19,13,15,15,15,8,38,8,0
01337,ASHWOOD HIGH SCHOOL,G,ASHWOOD - CHADSTONE,39,26,20,65,10,15,5,5,0,0
01456,ASSUMPTION COLLEGE,C,KILMORE - BROADFORD,172,145,90,46,11,17,12,13,1,0
01008,AUBURN HIGH SCHOOL,G,HAWTHORN EAST,37,36,19,58,16,5,5,16,0,0
01197,AVILA COLLEGE,C,MOUNT WAVERLEY - NORTH,172,149,80,74,4,16,3,4,0,0
01003,BACCHUS MARSH COLLEGE,G,BACCHUS MARSH,88,74,44,16,9,14,20,34,7,0
01799,BACCHUS MARSH GRAMMAR,I,BACCHUS MARSH,145,121,86,64,12,12,7,3,2,0
01177,BAIMBRIDGE COLLEGE,G,SOUTHERN GRAMPIANS,31,21,15,20,13,0,33,27,7,0
14495,BALCOMBE GRAMMAR SCHOOL,I,MOUNT MARTHA,65,60,41,56,24,7,2,5,5,0
01010,BALLARAT CLARENDON COLLEGE,I,BALLARAT,143,117,74,74,14,5,3,4,0,0
01480,BALLARAT GRAMMAR,I,WENDOUREE - MINERS REST,152,132,83,69,19,4,5,4,0,0
01060,BALLARAT HIGH SCHOOL,G,BALLARAT,173,169,114,37,15,11,7,25,4,1
01235,BALWYN HIGH SCHOOL,G,BALWYN NORTH,414,384,257,85,2,7,2,4,1,0
01387,BAYSIDE P-12 COLLEGE,G,ALTONA NORTH,93,53,44,45,9,9,9,18,7,2
01607,BEACONHILLS COLLEGE,I,PAKENHAM - NORTH,107,104,61,52,3,13,10,18,2,2
14425,BEACONHILLS COLLEGE,I,BERWICK - NORTH,122,111,79,66,10,13,4,6,1,0
01066,BEAUFORT SECONDARY COLLEGE,G,BEAUFORT,16,16,10,40,0,30,10,20,0,0
01486,BEECHWORTH SECONDARY COLLEGE,G,BEECHWORTH,24,23,19,21,11,21,5,26,16,0
11533,BELGRAVE HEIGHTS CHRISTIAN SCHOOL,I,BELGRAVE - SELBY,68,64,41,41,7,20,10,22,0,0
01039,BELLARINE SECONDARY COLLEGE,G,CLIFTON SPRINGS,113,96,64,22,14,17,8,30,9,0
01322,BELMONT HIGH SCHOOL,G,BELMONT,172,172,88,43,14,16,3,23,1,0
01687,BENALLA P-12 COLLEGE,G,BENALLA REGION,52,35,21,5,14,19,10,43,10,0
01226,BENDIGO SENIOR SECONDARY COLLEGE,G,BENDIGO,721,546,345,26,17,14,13,24,6,0
01560,BENTLEIGH SECONDARY COLLEGE,G,BENTLEIGH EAST,119,88,66,62,6,17,6,8,0,2
01232,BERWICK SECONDARY COLLEGE,G,BERWICK - NORTH,213,190,116,36,15,14,15,17,3,0
01144,BETH RIVKAH LADIES COLLEGE,I,CAULFIELD - NORTH,32,32,16,13,31,13,25,6,13,0
01558,BILLANOOK COLLEGE,I,MOOROOLBARK,105,84,50,60,24,4,0,10,2,0
01125,BIRCHIP P-12 SCHOOL,G,BULOKE,19,19,14,43,14,21,14,7,0,0
01499,BLACKBURN HIGH SCHOOL,G,BLACKBURN,160,113,80,60,10,19,3,9,0,0
01638,BORONIA K-12 COLLEGE,G,BORONIA - THE BASIN,20,14,10,20,0,20,20,20,20,0
01289,BOX HILL HIGH SCHOOL,G,BOX HILL,213,142,106,76,9,8,1,3,2,1
01397,BRAEMAR COLLEGE,I,MACEDON,94,75,43,58,28,2,5,5,2,0
01234,BRAUER SECONDARY COLLEGE,G,WARRNAMBOOL - NORTH,62,36,18,22,28,6,17,28,0,0
01240,BRAYBROOK COLLEGE,G,BRAYBROOK,184,171,115,63,0,21,3,8,5,0
01187,BRENTWOOD SECONDARY COLLEGE,G,GLEN WAVERLEY - EAST,218,127,99,63,11,10,10,2,4,0
01542,BRIGHT P-12 COLLEGE,G,BRIGHT - MOUNT BEAUTY,20,20,17,29,24,12,12,18,6,0
01095,BRIGHTON GRAMMAR SCHOOL,I,BRIGHTON (VIC.),143,127,72,69,4,13,7,6,1,0
01132,BRIGHTON SECONDARY COLLEGE,G,BRIGHTON EAST,197,168,93,54,12,18,8,6,2,0
01505,BRUNSWICK SECONDARY COLLEGE,G,BRUNSWICK,150,102,72,63,11,10,6,3,7,1
01452,BUCKLEY PARK COLLEGE,G,ESSENDON - ABERFELDIE,159,107,71,66,11,8,0,8,4,1
01054,BUNDOORA SECONDARY COLLEGE,G,BUNDOORA - EAST,62,58,37,11,5,35,8,24,11,5
01514,CAMBERWELL GIRLS GRAMMAR SCHOOL,I,SURREY HILLS (WEST) - CANTERBURY,75,59,38,95,5,0,0,0,0,0
01045,CAMBERWELL GRAMMAR SCHOOL,I,BALWYN,169,155,111,94,1,1,3,0,2,0
