2014,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Total Years 1-10,Primary ungraded,Secondary ungraded
,%,%,%,%,%,%,%,%,%,%,%,%,%
Male,93,93,93,93,93,93,92,91,90,90,92,89,86
Female,93,93,93,93,93,93,93,91,89,89,92,88,87
Indigenous,89,89,89,90,88,88,85,82,81,80,86,83,82
Non-indigenous,93,93,93,93,93,93,93,91,90,90,92,89,87
Total % attendance,93,93,93,93,93,93,93,91,90,90,92,89,86
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total % attendance,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,91,,,,,,,,,,,,
,90,,,,,,,,,,,,
,91,,,,,,,,,,,,
,93,,,,,,,,,,,,
,89,,,,,,,,,,,,
,89,,,,,,,,,,,,
