2016,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Total Years 1-10,Ungraded primary,Ungraded secondary
,%,%,%,%,%,%,%,%,%,%,%,%,%
Male,94%,94%,94%,94%,94%,93%,93%,91%,91%,91%,93%,89%,87%
Female,94%,94%,94%,94%,94%,94%,94%,91%,90%,91%,93%,88%,87%
Indigenous,90%,90%,90%,90%,89%,90%,87%,83%,82%,83%,88%,83%,77%
Non-indigenous,94%,94%,94%,94%,94%,94%,94%,92%,91%,91%,93%,89%,87%
Total % attendance,94%,94%,94%,94%,94%,94%,94%,91%,91%,91%,93%,89%,87%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total % attendance,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,94,,,,,,,,,,,,
,91,,,,,,,,,,,,
,90,,,,,,,,,,,,
,91,,,,,,,,,,,,
,93,,,,,,,,,,,,
,89,,,,,,,,,,,,
,89,,,,,,,,,,,,
